IMDB ID,Title,Actors,Writer,Genre,Plot
tt1954347,Continuum,"Rachel Nichols, Victor Webster, Erik Knudsen, Stephen Lobo",Simon Barry,"Action, Sci-Fi, Thriller",A detective from the year 2077 finds herself trapped in present day Vancouver and searching for ruthless criminals from the future.
tt0096563,Cops,"Andrew Fincher, Heather Ashley Chase","John Langley, Malcolm Barbour","Action, Crime, Reality-TV",Follows real-life law enforcement officers from various regions and departments of the US armed with nothing but with cameras to capture their actions.
tt2395695,Cosmos,Neil deGrasse Tyson,  ,Documentary,An exploration of our discovery of the laws of nature and coordinates in space and time.
tt1441109,Cougar Town,"Courteney Cox, Christa Miller, Busy Philipps, Dan Byrd","Kevin Biegel, Bill Lawrence","Comedy, Romance","Follows the escapades and relationships of a group of neighbors living in Gulfhaven, Florida."
tt4643084,Counterpart,"J.K. Simmons, Olivia Williams, Harry Lloyd, Nazanin Boniadi",Justin Marks,"Drama, Sci-Fi, Thriller","A hapless UN employee discovers the agency he works for is hiding a gateway to a parallel dimension that's in Cold War with our own, and where his other self is a top spy. The war slowly heats up thanks to spies from both sides."
tt0237123,Coupling,"Jack Davenport, Gina Bellman, Sarah Alexander, Kate Isitt",  ,"Comedy, Romance",Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.
tt0220880,Courage the Cowardly Dog,"Marty Grabstein, Thea White, Peter Fernandez, Simon Prebble",John Dilworth,"Animation, Comedy, Family, Fantasy, Horror","The offbeat adventures of Courage, a cowardly dog who must overcome his own fears to heroically defend his unknowing farmer owners from all kinds of dangers, paranormal events and menaces that appear around their land."
tt1495708,Covert Affairs,"Piper Perabo, Christopher Gorham, Kari Matchett, Peter Gallagher","Matt Corman, Chris Ord","Action, Crime, Drama, Mystery, Thriller","Fresh out of the farm, Annie Walker must adapt to the challenging life of a CIA operative under the guidance of her handler, Auggie. But soon she realizes her recruit might have to do with her last boyfriend rather than her talent."
tt0118289,Cow and Chicken,"Charlie Adler, Candi Milo, Dee Bradley Baker, Michael Dorn",David Feiss,"Animation, Comedy, Family, Fantasy",The program focuses on the misadventures of two unlikely yet somehow biological siblings: Cow and Chicken.
tt0213338,Cowboy Bebop,"Kôichi Yamadera, Unshô Ishizuka, Steve Blum, Beau Billingslea",  ,"Animation, Action, Adventure, Drama, Sci-Fi, Thriller",The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
tt5295524,Crashing,"Phoebe Waller-Bridge, Jonathan Bailey, Julie Dray, Louise Ford",  ,Comedy,"A new comedy series following the lives of six 20- and 30-somethings living together as property guardians of a large, disused hospital.."
tt4094300,Crazy Ex-Girlfriend,"Rachel Bloom, Donna Lynne Champlin, Vincent Rodriguez III, Pete Gardner","Rachel Bloom, Aline Brosh McKenna","Comedy, Musical","A young woman abandons a choice job at a law firm and her life in New York in an attempt to find happiness in the unlikely locale of West Covina, California."
tt0108656,Crime Story,"Jackie Chan, Kent Cheng, Kar-Ying Law, Pui-San Auyeung","Tin Nam Chun, Man Keung Chan, Lai Ling Cheung, Chi-Sing Cheung, Teddy Chan","Action, Crime, Drama","A Special Agent is assigned to protect a wealthy business magnate. However, when the businessman is kidnapped in a daring ambush, he teams up with a seasoned detective to crack the case. But soon he discovers the case isn't that simple."
tt0452046,Criminal Minds,"Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna",Jeff Davis,"Crime, Drama, Mystery, Thriller","The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again."
tt4364202,Criminal Minds: Beyond Borders,"Gary Sinise, Alana De La Garza, Daniel Henney, Tyler James Williams","Erica Messer, Erica Meredith","Crime, Drama, Mystery","An international unit of the FBI charged with coming to the aid of, and solving crimes involving, American citizens in foreign countries. A spin-off from Criminal Minds."
tt2427220,Crossing Lines,"Tom Wlaschiha, Donald Sutherland, Lara Rossi, William Fichtner",Edward Allen Bernero,"Action, Crime, Drama","A special crime unit investigates serialized crimes that cross over European borders, to hunt down criminals and bring them to justice."
tt0247082,CSI: Crime Scene Investigation,"George Eads, Eric Szmanda, Robert David Hall, Paul Guilfoyle",Anthony E. Zuiker,"Crime, Drama, Mystery",An elite team of police forensic evidence investigation experts work their cases in Las Vegas.
tt2222352,Cuckoo,"Greg Davies, Helen Baxendale, Tyger Drew-Honey, Kenneth Collard","Robin French, Kieron Quirke",Comedy,"Cuckoo is every parent's worst nightmare - a slacker full of outlandish, New Age ideas."
tt0264235,Curb Your Enthusiasm,"Larry David, Jeff Garlin, Cheryl Hines, Susie Essman",Larry David,Comedy,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.
tt0309141,Cyberchase,"Novie Edwards, Annick Obonsawin, Jacqueline Pillon, Bianca DeGroat",  ,"Animation, Comedy, Family, Mystery, Sci-Fi","Three kids, Jackie, Matt, Inez, and their bird friend Digit, must save cyberspace from the evil Hacker with the use of strategy and math skills."
tt2180883,Daily Lives of High School Boys,"Tomokazu Sugita, Ken'ichi Suzumura, Daisuke Namikawa, Miyu Irino",  ,"Animation, Comedy, Drama",A sketch comedy about three friends attending an all boys school.
tt0914387,Damages,"Glenn Close, Rose Byrne, Tate Donovan, Zachary Booth","Glenn Kessler, Todd A. Kessler, Daniel Zelman","Crime, Drama, Mystery, Thriller",A law school graduate becomes the protégée of a successful high-stakes litigator.
tt4337944,Damien,"Bradley James, Megalyn Echikunwoke, Omid Abtahi, Barbara Hershey",Glen Mazzara,"Drama, Horror","After discovering his origins, Damien Thorn must cope with life as the Anti-Christ."
tt1551948,Dance Academy,"Xenia Goodwin, Alicia Banit, Dena Kaplan, Jordan Rodrigues","Samantha Strauss, Joanna Werner","Drama, Family, Music, Romance","At Sydney's National Dance Academy, a few talented youngsters are recruited for the excruciatingly tough course. Jewish long line of doctors' heir Samuel 'Sammy' and minor juvenile offender..."
tt1586814,Dance in the Vampire Bund,"Yûichi Nakamura, Monica Rial, Alexis Tipton, Eric Vale",  ,"Animation, Action, Drama, Fantasy, Horror, Romance","Vampire queen Mina Tepesh comes out of hiding to offer peace between vampires and humans. Japan gives her a bund, where she goes to live with her people. However, extremist human and vampire groups do not want to coexist."
tt2902582,Danganronpa: The Animation,"Megumi Ogata, Yôko Hikasa, Chiwa Saitô, Nobuyo Ôyama",  ,"Animation, Action, Crime, Mystery, Thriller","A group of 15 elite high school students are gathered at a very special, high class high school. To graduate from this high school essentially means you'll succeed in life, but graduating ..."
